Date,Data_Type,Monthly_NDVI,SPI_3M,Rain3mo,SPI_Forecast,NDVI_Forecast
2/29/2000,Observed,0.5649,,,,
3/31/2000,Observed,0.5614,1.083567352,84.69,,
4/30/2000,Observed,0.54345,0.672551315,106.72,,
5/31/2000,Observed,0.62275,0.977379594,351.33,,
6/30/2000,Observed,0.5611,0.326141392,476.89,,
7/31/2000,Observed,0.6123,0.430944386,688.13,,
8/31/2000,Observed,0.39915,0.280907756,670.23,,
9/30/2000,Observed,0.2632,0.497747837,695.54,,
10/31/2000,Observed,0.15775,1.048224731,786.04,,
11/30/2000,Observed,0.3235,0.614819181,638.5,,
12/31/2000,Observed,0.49645,1.194120639,530.67,,
1/31/2001,Observed,0.5481,0.578589405,203.8,,
2/28/2001,Observed,0.54745,0.948489726,100.64,,
3/31/2001,Observed,0.5775,0.740264878,62.55,,
4/30/2001,Observed,0.5869,0.335147313,78.14,,
5/31/2001,Observed,0.5304,0.056499658,225.68,,
6/30/2001,Observed,0.6261,0.082037568,435.77,,
7/31/2001,Observed,0.5483,-0.269743999,540.47,,
8/31/2001,Observed,0.5324,0.28158942,670.38,,
9/30/2001,Observed,0.2408,0.112676827,624.81,,
10/31/2001,Observed,0.4728,0.223597629,641.16,,
11/30/2001,Observed,0.50785,-0.816259023,443.23,,
12/31/2001,Observed,0.5692,-1.303845178,244.83,,
1/31/2002,Observed,0.5862,-0.960950725,105.17,,
2/28/2002,Observed,0.5611,-0.86851999,20.6,,
3/31/2002,Observed,0.5808,-0.957949319,7.07,,
4/30/2002,Observed,0.5362,-0.715286437,22.89,,
5/31/2002,Observed,0.5865,-1.476310294,90.53,,
6/30/2002,Observed,0.61655,-0.914410453,292.58,,
7/31/2002,Observed,0.6465,-1.283719459,367.14,,
8/31/2002,Observed,0.61655,-1.033086412,420.96,,
9/30/2002,Observed,0.4954,-1.470062312,384.67,,
10/31/2002,Observed,0.4915,-0.976570824,463.89,,
11/30/2002,Observed,0.6653,-0.624300211,466.69,,
12/31/2002,Observed,0.63155,0.120475829,389.77,,
1/31/2003,Observed,0.62195,0.730865514,216.01,,
2/28/2003,Observed,0.6333,0.810657303,91.5,,
3/31/2003,Observed,0.59565,-1.214360892,4.42,,
4/30/2003,Observed,0.55305,-1.267555536,9.75,,
5/31/2003,Observed,0.56185,0.004493918,219.65,,
6/30/2003,Observed,0.62075,-0.609975492,332.26,,
7/31/2003,Observed,0.67945,-0.583097981,481.98,,
8/31/2003,Observed,0.6317,-0.792828184,460.78,,
9/30/2003,Observed,0.6128,-0.530778033,517.63,,
10/31/2003,Observed,0.7065,0.04045232,611.59,,
11/30/2003,Observed,0.6624,-0.450215766,488.68,,
12/31/2003,Observed,0.66145,-0.496513541,321.37,,
1/31/2004,Observed,0.64155,-1.708268023,72.07,,
2/29/2004,Observed,0.6068,-0.973276026,18.29,,
3/31/2004,Observed,0.6015,-0.535705636,13.93,,
4/30/2004,Observed,0.68695,-0.233349481,42.49,,
5/31/2004,Observed,0.597,-0.142448848,203.2,,
6/30/2004,Observed,0.48095,-0.653007626,326.44,,
7/31/2004,Observed,0.65415,0.288615932,656.2,,
8/31/2004,Observed,0.5866,0.15544472,643,,
9/30/2004,Observed,0.6829,0.386295257,674.55,,
10/31/2004,Observed,0.65865,-0.454637658,536.25,,
11/30/2004,Observed,0.6368,-0.936081385,429,,
12/31/2004,Observed,0.64175,-0.901125098,281.23,,
1/31/2005,Observed,0.6241,-2.043671964,59.96,,
2/28/2005,Observed,0.6326,-1.673476607,7.44,,
3/31/2005,Observed,0.60115,-0.968581214,6.94,,
4/30/2005,Observed,0.59585,-1.183387132,11.23,,
5/31/2005,Observed,0.6187,-0.689729674,149.3,,
6/30/2005,Observed,0.60075,-0.703654152,319.68,,
7/31/2005,Observed,0.54255,-0.466848466,503.15,,
8/31/2005,Observed,0.3987,-0.657886269,484.24,,
9/30/2005,Observed,0.71015,-1.2367736,415.19,,
10/31/2005,Observed,0.6402,-1.027709668,457.18,,
11/30/2005,Observed,0.66485,-0.696742963,457.74,,
12/31/2005,Observed,0.62025,0.259086216,406.37,,
1/31/2006,Observed,0.6197,0.319160994,184.06,,
2/28/2006,Observed,0.68435,0.735501622,86.75,,
3/31/2006,Observed,0.67775,0.192427254,35.68,,
4/30/2006,Observed,0.6531,0.714403885,110.68,,
5/31/2006,Observed,0.6527,0.219856975,245.34,,
6/30/2006,Observed,0.5837,-0.126272592,402.61,,
7/31/2006,Observed,0.61615,-0.562976937,485.6,,
8/31/2006,Observed,0.4867,-0.548417315,503.86,,
9/30/2006,Observed,0.7042,-0.396088634,538.95,,
10/31/2006,Observed,0.6901,-0.334655314,553.9,,
11/30/2006,Observed,0.70805,-1.041073747,416.79,,
12/31/2006,Observed,0.6975,-1.410926139,235.73,,
1/31/2007,Observed,0.59355,-1.896115422,65.09,,
2/28/2007,Observed,0.67065,-0.600284551,27.48,,
3/31/2007,Observed,0.66775,0.413716422,45.34,,
4/30/2007,Observed,0.5817,0.133599928,63.79,,
5/31/2007,Observed,0.61705,0.250894837,249.2,,
6/30/2007,Observed,0.49865,-0.018790704,419.5,,
7/31/2007,Observed,0.48125,0.444090529,691.13,,
8/31/2007,Observed,0.5753,0.289081052,672.03,,
9/30/2007,Observed,0.3505,0.61837995,718.74,,
10/31/2007,Observed,0.6738,0.129306831,625.82,,
11/30/2007,Observed,0.6637,0.229383561,581.19,,
12/31/2007,Observed,0.5968,-0.369969476,334.68,,
1/31/2008,Observed,0.63195,-0.315087558,141.25,,
2/29/2008,Observed,0.6044,-0.808754562,22.01,,
3/31/2008,Observed,0.6213,0.509229719,50,,
4/30/2008,Observed,0.56985,0.605722332,100.59,,
5/31/2008,Observed,0.38565,0.396830069,267.89,,
6/30/2008,Observed,0.64305,-0.338880577,370.56,,
7/31/2008,Observed,0.54525,-0.450645145,506.15,,
8/31/2008,Observed,0.48035,-0.299179266,550.53,,
9/30/2008,Observed,0.5723,0.005829997,606.07,,
10/31/2008,Observed,0.33975,-0.2846503,561.37,,
11/30/2008,Observed,0.6311,-0.410755043,493.76,,
12/31/2008,Observed,0.59545,-0.209562422,352.08,,
1/31/2009,Observed,0.59595,0.542188657,200.95,,
2/28/2009,Observed,0.62595,0.348980438,64.85,,
3/31/2009,Observed,0.6201,0.192427254,35.68,,
4/30/2009,Observed,0.63405,1.112484181,153.14,,
5/31/2009,Observed,0.58325,0.983442411,352.28,,
6/30/2009,Observed,0.60755,0.030735633,427.44,,
7/31/2009,Observed,0.34555,-0.713292914,459,,
8/31/2009,Observed,0.55405,-0.911453709,440.81,,
9/30/2009,Observed,0.5253,-0.20849502,569.62,,
10/31/2009,Observed,0.7503,-0.170665568,578.65,,
11/30/2009,Observed,0.5566,-0.599908174,469.73,,
12/31/2009,Observed,0.56075,-1.052824853,267.11,,
1/31/2010,Observed,0.6295,-0.511363745,129.51,,
2/28/2010,Observed,0.6142,-0.051130033,46.42,,
3/31/2010,Observed,0.52895,0.208018065,36.31,,
4/30/2010,Observed,0.55675,-0.864462893,18.48,,
5/31/2010,Observed,0.3238,-2.171414971,54.45,,
6/30/2010,Observed,0.61515,-1.654653224,210.01,,
7/31/2010,Observed,0.607,-1.123499836,391.52,,
8/31/2010,Observed,0.5756,-0.128001613,584.22,,
9/30/2010,Observed,0.40285,-0.048713464,596.65,,
10/31/2010,Observed,0.6293,0.782634738,737.25,,
11/30/2010,Observed,0.60185,1.028160785,703.97,,
12/31/2010,Observed,0.562,1.426721983,565.02,,
1/31/2011,Observed,0.65915,1.028796585,241.26,,
2/28/2011,Observed,0.6208,-0.064121865,45.89,,
3/31/2011,Observed,0.5516,0.360416167,42.87,,
4/30/2011,Observed,0.51795,0.756521284,114.76,,
5/31/2011,Observed,0.4014,0.285729281,253.58,,
6/30/2011,Observed,0.4937,-0.169030496,396.02,,
7/31/2011,Observed,0.59025,-0.59817249,479.28,,
8/31/2011,Observed,0.3033,-0.2955,551.24,,
9/30/2011,Observed,0.36275,-0.340002366,548,,
10/31/2011,Observed,0.4062,-0.30387602,558.49,,
11/30/2011,Observed,0.4806,-0.114337037,533.06,,
12/31/2011,Observed,0.5166,-0.022563038,373.12,,
1/31/2012,Observed,0.545,0.826888506,223.95,,
2/29/2012,Observed,0.65185,1.023637554,105.86,,
3/31/2012,Observed,0.6004,1.753222651,140.66,,
4/30/2012,Observed,0.52475,1.685020588,230.15,,
5/31/2012,Observed,0.54335,0.763302592,318.84,,
6/30/2012,Observed,0.5773,-0.110046488,405.13,,
7/31/2012,Observed,0.6035,-0.589846463,480.77,,
8/31/2012,Observed,0.6388,-1.131036943,405.43,,
