Date,Monthly_NDVI
2/29/2000,0.5649
3/31/2000,0.5614
4/30/2000,0.54345
5/31/2000,0.62275
6/30/2000,0.5611
7/31/2000,0.6123
8/31/2000,0.39915
9/30/2000,0.2632
10/31/2000,0.15775
11/30/2000,0.3235
12/31/2000,0.49645
1/31/2001,0.5481
2/28/2001,0.54745
3/31/2001,0.5775
4/30/2001,0.5869
5/31/2001,0.5304
6/30/2001,0.6261
7/31/2001,0.5483
8/31/2001,0.5324
9/30/2001,0.2408
10/31/2001,0.4728
11/30/2001,0.50785
12/31/2001,0.5692
1/31/2002,0.5862
2/28/2002,0.5611
3/31/2002,0.5808
4/30/2002,0.5362
5/31/2002,0.5865
6/30/2002,0.61655
7/31/2002,0.6465
8/31/2002,0.61655
9/30/2002,0.4954
10/31/2002,0.4915
11/30/2002,0.6653
12/31/2002,0.63155
1/31/2003,0.62195
2/28/2003,0.6333
3/31/2003,0.59565
4/30/2003,0.55305
5/31/2003,0.56185
6/30/2003,0.62075
7/31/2003,0.67945
8/31/2003,0.6317
9/30/2003,0.6128
10/31/2003,0.7065
11/30/2003,0.6624
12/31/2003,0.66145
1/31/2004,0.64155
2/29/2004,0.6068
3/31/2004,0.6015
4/30/2004,0.68695
5/31/2004,0.597
6/30/2004,0.48095
7/31/2004,0.65415
8/31/2004,0.5866
9/30/2004,0.6829
10/31/2004,0.65865
11/30/2004,0.6368
12/31/2004,0.64175
1/31/2005,0.6241
2/28/2005,0.6326
3/31/2005,0.60115
4/30/2005,0.59585
5/31/2005,0.6187
6/30/2005,0.60075
7/31/2005,0.54255
8/31/2005,0.3987
9/30/2005,0.71015
10/31/2005,0.6402
11/30/2005,0.66485
12/31/2005,0.62025
1/31/2006,0.6197
2/28/2006,0.68435
3/31/2006,0.67775
4/30/2006,0.6531
5/31/2006,0.6527
6/30/2006,0.5837
7/31/2006,0.61615
8/31/2006,0.4867
9/30/2006,0.7042
10/31/2006,0.6901
11/30/2006,0.70805
12/31/2006,0.6975
1/31/2007,0.59355
2/28/2007,0.67065
3/31/2007,0.66775
4/30/2007,0.5817
5/31/2007,0.61705
6/30/2007,0.49865
7/31/2007,0.48125
8/31/2007,0.5753
9/30/2007,0.3505
10/31/2007,0.6738
11/30/2007,0.6637
12/31/2007,0.5968
1/31/2008,0.63195
2/29/2008,0.6044
3/31/2008,0.6213
4/30/2008,0.56985
5/31/2008,0.38565
6/30/2008,0.64305
7/31/2008,0.54525
8/31/2008,0.48035
9/30/2008,0.5723
10/31/2008,0.33975
11/30/2008,0.6311
12/31/2008,0.59545
1/31/2009,0.59595
2/28/2009,0.62595
3/31/2009,0.6201
4/30/2009,0.63405
5/31/2009,0.58325
6/30/2009,0.60755
7/31/2009,0.34555
8/31/2009,0.55405
9/30/2009,0.5253
10/31/2009,0.7503
11/30/2009,0.5566
12/31/2009,0.56075
1/31/2010,0.6295
2/28/2010,0.6142
3/31/2010,0.52895
4/30/2010,0.55675
5/31/2010,0.3238
6/30/2010,0.61515
7/31/2010,0.607
8/31/2010,0.5756
9/30/2010,0.40285
10/31/2010,0.6293
11/30/2010,0.60185
12/31/2010,0.562
1/31/2011,0.65915
2/28/2011,0.6208
3/31/2011,0.5516
4/30/2011,0.51795
5/31/2011,0.4014
6/30/2011,0.4937
7/31/2011,0.59025
8/31/2011,0.3033
9/30/2011,0.36275
10/31/2011,0.4062
11/30/2011,0.4806
12/31/2011,0.5166
1/31/2012,0.545
2/29/2012,0.65185
3/31/2012,0.6004
4/30/2012,0.52475
5/31/2012,0.54335
6/30/2012,0.5773
7/31/2012,0.6035
8/31/2012,0.6388
9/30/2012,0.3958
10/31/2012,0.59535
11/30/2012,0.5696
12/31/2012,0.5644
1/31/2013,0.7396
2/28/2013,0.67805
3/31/2013,0.34085
4/30/2013,0.4812
5/31/2013,0.55135
6/30/2013,0.3426
7/31/2013,0.39935
8/31/2013,0.55405
9/30/2013,0.49345
10/31/2013,0.4745
11/30/2013,0.51025
12/31/2013,0.49285
1/31/2014,0.6968
2/28/2014,0.7023
3/31/2014,0.5637
4/30/2014,0.45175
5/31/2014,0.60755
6/30/2014,0.6587
7/31/2014,0.47555
8/31/2014,0.5176
9/30/2014,0.44635
10/31/2014,0.4329
11/30/2014,0.421
12/31/2014,0.60625
1/31/2015,0.7364
2/28/2015,0.6623
3/31/2015,0.50185
4/30/2015,0.45515
5/31/2015,0.50775
