Date,Monthly_NDVI,Rain_month,Rain3mo
2/29/2000,0.5649,29.59,
3/31/2000,0.5614,43.18,84.69
4/30/2000,0.54345,33.95,106.72
5/31/2000,0.62275,274.2,351.33
6/30/2000,0.5611,168.74,476.89
7/31/2000,0.6123,245.19,688.13
8/31/2000,0.39915,256.3,670.23
9/30/2000,0.2632,194.05,695.54
10/31/2000,0.15775,335.69,786.04
11/30/2000,0.3235,108.76,638.5
12/31/2000,0.49645,86.22,530.67
1/31/2001,0.5481,8.82,8.82
2/28/2001,0.54745,5.6,5.6
3/31/2001,0.5775,48.13,62.55
4/30/2001,0.5869,24.41,78.14
5/31/2001,0.5304,153.14,225.68
6/30/2001,0.6261,258.22,435.77
7/31/2001,0.5483,129.11,540.47
8/31/2001,0.5324,283.05,670.38
9/30/2001,0.2408,212.65,624.81
10/31/2001,0.4728,145.46,641.16
11/30/2001,0.50785,85.12,443.23
12/31/2001,0.5692,14.25,244.83
1/31/2002,0.5862,5.8,5.8
2/28/2002,0.5611,0.55,0.55
3/31/2002,0.5808,0.72,7.07
4/30/2002,0.5362,21.62,22.89
5/31/2002,0.5865,68.19,90.53
6/30/2002,0.61655,202.77,292.58
7/31/2002,0.6465,96.18,367.14
8/31/2002,0.61655,122.01,420.96
9/30/2002,0.4954,166.48,384.67
10/31/2002,0.4915,175.4,463.89
11/30/2002,0.6653,124.81,466.69
12/31/2002,0.63155,89.56,389.77
1/31/2003,0.62195,1.64,1.64
2/28/2003,0.6333,0.3,0.3
3/31/2003,0.59565,2.48,4.42
4/30/2003,0.55305,6.97,9.75
5/31/2003,0.56185,210.2,219.65
6/30/2003,0.62075,115.09,332.26
7/31/2003,0.67945,156.69,481.98
8/31/2003,0.6317,189,460.78
9/30/2003,0.6128,171.94,517.63
10/31/2003,0.7065,250.65,611.59
11/30/2003,0.6624,66.09,488.68
12/31/2003,0.66145,4.63,321.37
1/31/2004,0.64155,1.35,1.35
2/29/2004,0.6068,12.31,12.31
3/31/2004,0.6015,0.27,13.93
4/30/2004,0.68695,29.91,42.49
5/31/2004,0.597,173.02,203.2
6/30/2004,0.48095,123.51,326.44
7/31/2004,0.65415,359.67,656.2
8/31/2004,0.5866,159.82,643
9/30/2004,0.6829,155.06,674.55
10/31/2004,0.65865,221.37,536.25
11/30/2004,0.6368,52.57,429
12/31/2004,0.64175,7.29,281.23
1/31/2005,0.6241,0.1,0.1
2/28/2005,0.6326,0.05,0.05
3/31/2005,0.60115,6.79,6.94
4/30/2005,0.59585,4.39,11.23
5/31/2005,0.6187,138.12,149.3
6/30/2005,0.60075,177.17,319.68
7/31/2005,0.54255,187.86,503.15
8/31/2005,0.3987,119.21,484.24
9/30/2005,0.71015,108.12,415.19
10/31/2005,0.6402,229.85,457.18
11/30/2005,0.66485,119.77,457.74
12/31/2005,0.62025,56.75,406.37
1/31/2006,0.6197,7.54,7.54
2/28/2006,0.68435,22.46,22.46
3/31/2006,0.67775,5.68,35.68
4/30/2006,0.6531,82.54,110.68
5/31/2006,0.6527,157.12,245.34
6/30/2006,0.5837,162.95,402.61
7/31/2006,0.61615,165.53,485.6
8/31/2006,0.4867,175.38,503.86
9/30/2006,0.7042,198.04,538.95
10/31/2006,0.6901,180.48,553.9
11/30/2006,0.70805,38.27,416.79
12/31/2006,0.6975,16.98,235.73
1/31/2007,0.59355,9.84,9.84
2/28/2007,0.67065,0.66,0.66
3/31/2007,0.66775,34.84,45.34
4/30/2007,0.5817,28.29,63.79
5/31/2007,0.61705,186.07,249.2
6/30/2007,0.49865,205.14,419.5
7/31/2007,0.48125,299.92,691.13
8/31/2007,0.5753,166.97,672.03
9/30/2007,0.3505,251.85,718.74
10/31/2007,0.6738,207,625.82
11/30/2007,0.6637,122.34,581.19
12/31/2007,0.5968,5.34,334.68
1/31/2008,0.63195,13.57,13.57
2/29/2008,0.6044,3.1,3.1
3/31/2008,0.6213,33.33,50
4/30/2008,0.56985,64.16,100.59
