Date,Monthly_NDVI,Rain3mo,SPI_3M
2/29/2000,0.5649,,
3/31/2000,0.5614,84.69,1.083567352
4/30/2000,0.54345,106.72,0.672551315
5/31/2000,0.62275,351.33,0.977379594
6/30/2000,0.5611,476.89,0.326141392
7/31/2000,0.6123,688.13,0.430944386
8/31/2000,0.39915,670.23,0.280907756
9/30/2000,0.2632,695.54,0.497747837
10/31/2000,0.15775,786.04,1.048224731
11/30/2000,0.3235,638.5,0.614819181
12/31/2000,0.49645,530.67,1.194120639
1/31/2001,0.5481,203.8,0.578589405
2/28/2001,0.54745,100.64,0.948489726
3/31/2001,0.5775,62.55,0.740264878
4/30/2001,0.5869,78.14,0.335147313
5/31/2001,0.5304,225.68,0.056499658
6/30/2001,0.6261,435.77,0.082037568
7/31/2001,0.5483,540.47,-0.269743999
8/31/2001,0.5324,670.38,0.28158942
9/30/2001,0.2408,624.81,0.112676827
10/31/2001,0.4728,641.16,0.223597629
11/30/2001,0.50785,443.23,-0.816259023
12/31/2001,0.5692,244.83,-1.303845178
1/31/2002,0.5862,105.17,-0.960950725
2/28/2002,0.5611,20.6,-0.86851999
3/31/2002,0.5808,7.07,-0.957949319
4/30/2002,0.5362,22.89,-0.715286437
5/31/2002,0.5865,90.53,-1.476310294
6/30/2002,0.61655,292.58,-0.914410453
7/31/2002,0.6465,367.14,-1.283719459
8/31/2002,0.61655,420.96,-1.033086412
9/30/2002,0.4954,384.67,-1.470062312
10/31/2002,0.4915,463.89,-0.976570824
11/30/2002,0.6653,466.69,-0.624300211
12/31/2002,0.63155,389.77,0.120475829
1/31/2003,0.62195,216.01,0.730865514
2/28/2003,0.6333,91.5,0.810657303
3/31/2003,0.59565,4.42,-1.214360892
4/30/2003,0.55305,9.75,-1.267555536
5/31/2003,0.56185,219.65,0.004493918
6/30/2003,0.62075,332.26,-0.609975492
7/31/2003,0.67945,481.98,-0.583097981
8/31/2003,0.6317,460.78,-0.792828184
9/30/2003,0.6128,517.63,-0.530778033
10/31/2003,0.7065,611.59,0.04045232
11/30/2003,0.6624,488.68,-0.450215766
12/31/2003,0.66145,321.37,-0.496513541
1/31/2004,0.64155,72.07,-1.708268023
2/29/2004,0.6068,18.29,-0.973276026
3/31/2004,0.6015,13.93,-0.535705636
4/30/2004,0.68695,42.49,-0.233349481
5/31/2004,0.597,203.2,-0.142448848
6/30/2004,0.48095,326.44,-0.653007626
7/31/2004,0.65415,656.2,0.288615932
8/31/2004,0.5866,643,0.15544472
9/30/2004,0.6829,674.55,0.386295257
10/31/2004,0.65865,536.25,-0.454637658
11/30/2004,0.6368,429,-0.936081385
12/31/2004,0.64175,281.23,-0.901125098
1/31/2005,0.6241,59.96,-2.043671964
2/28/2005,0.6326,7.44,-1.673476607
3/31/2005,0.60115,6.94,-0.968581214
4/30/2005,0.59585,11.23,-1.183387132
5/31/2005,0.6187,149.3,-0.689729674
6/30/2005,0.60075,319.68,-0.703654152
7/31/2005,0.54255,503.15,-0.466848466
8/31/2005,0.3987,484.24,-0.657886269
9/30/2005,0.71015,415.19,-1.2367736
10/31/2005,0.6402,457.18,-1.027709668
11/30/2005,0.66485,457.74,-0.696742963
12/31/2005,0.62025,406.37,0.259086216
1/31/2006,0.6197,184.06,0.319160994
2/28/2006,0.68435,86.75,0.735501622
3/31/2006,0.67775,35.68,0.192427254
4/30/2006,0.6531,110.68,0.714403885
5/31/2006,0.6527,245.34,0.219856975
6/30/2006,0.5837,402.61,-0.126272592
7/31/2006,0.61615,485.6,-0.562976937
8/31/2006,0.4867,503.86,-0.548417315
9/30/2006,0.7042,538.95,-0.396088634
10/31/2006,0.6901,553.9,-0.334655314
11/30/2006,0.70805,416.79,-1.041073747
12/31/2006,0.6975,235.73,-1.410926139
1/31/2007,0.59355,65.09,-1.896115422
2/28/2007,0.67065,27.48,-0.600284551
3/31/2007,0.66775,45.34,0.413716422
4/30/2007,0.5817,63.79,0.133599928
5/31/2007,0.61705,249.2,0.250894837
6/30/2007,0.49865,419.5,-0.018790704
7/31/2007,0.48125,691.13,0.444090529
8/31/2007,0.5753,672.03,0.289081052
9/30/2007,0.3505,718.74,0.61837995
10/31/2007,0.6738,625.82,0.129306831
11/30/2007,0.6637,581.19,0.229383561
12/31/2007,0.5968,334.68,-0.369969476
1/31/2008,0.63195,141.25,-0.315087558
2/29/2008,0.6044,22.01,-0.808754562
3/31/2008,0.6213,50,0.509229719
4/30/2008,0.56985,100.59,0.605722332
5/31/2008,0.38565,267.89,0.396830069
6/30/2008,0.64305,370.56,-0.338880577
7/31/2008,0.54525,506.15,-0.450645145
8/31/2008,0.48035,550.53,-0.299179266
9/30/2008,0.5723,606.07,0.005829997
10/31/2008,0.33975,561.37,-0.2846503
11/30/2008,0.6311,493.76,-0.410755043
12/31/2008,0.59545,352.08,-0.209562422
1/31/2009,0.59595,200.95,0.542188657
2/28/2009,0.62595,64.85,0.348980438
3/31/2009,0.6201,35.68,0.192427254
4/30/2009,0.63405,153.14,1.112484181
5/31/2009,0.58325,352.28,0.983442411
6/30/2009,0.60755,427.44,0.030735633
7/31/2009,0.34555,459,-0.713292914
8/31/2009,0.55405,440.81,-0.911453709
9/30/2009,0.5253,569.62,-0.20849502
10/31/2009,0.7503,578.65,-0.170665568
11/30/2009,0.5566,469.73,-0.599908174
12/31/2009,0.56075,267.11,-1.052824853
1/31/2010,0.6295,129.51,-0.511363745
2/28/2010,0.6142,46.42,-0.051130033
3/31/2010,0.52895,36.31,0.208018065
4/30/2010,0.55675,18.48,-0.864462893
5/31/2010,0.3238,54.45,-2.171414971
6/30/2010,0.61515,210.01,-1.654653224
7/31/2010,0.607,391.52,-1.123499836
8/31/2010,0.5756,584.22,-0.128001613
9/30/2010,0.40285,596.65,-0.048713464
10/31/2010,0.6293,737.25,0.782634738
11/30/2010,0.60185,703.97,1.028160785
12/31/2010,0.562,565.02,1.426721983
1/31/2011,0.65915,241.26,1.028796585
2/28/2011,0.6208,45.89,-0.064121865
3/31/2011,0.5516,42.87,0.360416167
4/30/2011,0.51795,114.76,0.756521284
5/31/2011,0.4014,253.58,0.285729281
6/30/2011,0.4937,396.02,-0.169030496
7/31/2011,0.59025,479.28,-0.59817249
8/31/2011,0.3033,551.24,-0.2955
9/30/2011,0.36275,548,-0.340002366
10/31/2011,0.4062,558.49,-0.30387602
11/30/2011,0.4806,533.06,-0.114337037
12/31/2011,0.5166,373.12,-0.022563038
1/31/2012,0.545,223.95,0.826888506
2/29/2012,0.65185,105.86,1.023637554
3/31/2012,0.6004,140.66,1.753222651
4/30/2012,0.52475,230.15,1.685020588
5/31/2012,0.54335,318.84,0.763302592
6/30/2012,0.5773,405.13,-0.110046488
7/31/2012,0.6035,480.77,-0.589846463
8/31/2012,0.6388,405.43,-1.131036943
9/30/2012,0.3958,561.44,-0.25784979
10/31/2012,0.59535,606.23,0.006626054
11/30/2012,0.5696,637.08,0.605551588
12/31/2012,0.5644,353.42,-0.19743252
1/31/2013,0.7396,137.18,-0.381830656
2/28/2013,0.67805,34.14,-0.383356392
3/31/2013,0.34085,25,-0.106694883
4/30/2013,0.4812,63.71,0.132393997
5/31/2013,0.55135,146.84,-0.717763485
6/30/2013,0.3426,339.65,-0.556070741
7/31/2013,0.39935,406.88,-1.0260809
8/31/2013,0.55405,450.27,-0.854809714
9/30/2013,0.49345,394.83,-1.391023022
10/31/2013,0.4745,451.34,-1.072637402
11/30/2013,0.51025,421.63,-0.999207148
12/31/2013,0.49285,293.76,-0.770818739
1/31/2014,0.6968,117.52,-0.72479793
2/28/2014,0.7023,12.27,-1.302506022
3/31/2014,0.5637,2.74,-1.451644517
4/30/2014,0.45175,19.73,-0.81968461
5/31/2014,0.60755,85.19,-1.564472977
6/30/2014,0.6587,263.03,-1.16020426
