Year,Month,Monthly Rainfall (mm),Rain 3mo (mm)
2000,1,11.92,
2000,2,29.59,
2000,3,43.18,84.69
2000,4,33.95,106.72
2000,5,274.2,351.33
2000,6,168.74,476.89
2000,7,245.19,688.13
2000,8,256.3,670.23
2000,9,194.05,695.54
2000,10,335.69,786.04
2000,11,108.76,638.5
2000,12,86.22,530.67
2001,1,8.82,203.8
2001,2,5.6,100.64
2001,3,48.13,62.55
2001,4,24.41,78.14
2001,5,153.14,225.68
2001,6,258.22,435.77
2001,7,129.11,540.47
2001,8,283.05,670.38
2001,9,212.65,624.81
2001,10,145.46,641.16
2001,11,85.12,443.23
2001,12,14.25,244.83
2002,1,5.8,105.17
2002,2,0.55,20.6
2002,3,0.72,7.07
2002,4,21.62,22.89
2002,5,68.19,90.53
2002,6,202.77,292.58
2002,7,96.18,367.14
2002,8,122.01,420.96
2002,9,166.48,384.67
2002,10,175.4,463.89
2002,11,124.81,466.69
2002,12,89.56,389.77
2003,1,1.64,216.01
2003,2,0.3,91.5
2003,3,2.48,4.42
2003,4,6.97,9.75
2003,5,210.2,219.65
2003,6,115.09,332.26
2003,7,156.69,481.98
2003,8,189,460.78
2003,9,171.94,517.63
2003,10,250.65,611.59
2003,11,66.09,488.68
2003,12,4.63,321.37
2004,1,1.35,72.07
2004,2,12.31,18.29
2004,3,0.27,13.93
2004,4,29.91,42.49
2004,5,173.02,203.2
2004,6,123.51,326.44
2004,7,359.67,656.2
2004,8,159.82,643
2004,9,155.06,674.55
2004,10,221.37,536.25
2004,11,52.57,429
2004,12,7.29,281.23
2005,1,0.1,59.96
2005,2,0.05,7.44
2005,3,6.79,6.94
2005,4,4.39,11.23
2005,5,138.12,149.3
2005,6,177.17,319.68
2005,7,187.86,503.15
2005,8,119.21,484.24
2005,9,108.12,415.19
2005,10,229.85,457.18
2005,11,119.77,457.74
2005,12,56.75,406.37
2006,1,7.54,184.06
2006,2,22.46,86.75
2006,3,5.68,35.68
2006,4,82.54,110.68
2006,5,157.12,245.34
2006,6,162.95,402.61
2006,7,165.53,485.6
2006,8,175.38,503.86
2006,9,198.04,538.95
2006,10,180.48,553.9
2006,11,38.27,416.79
2006,12,16.98,235.73
2007,1,9.84,65.09
2007,2,0.66,27.48
2007,3,34.84,45.34
2007,4,28.29,63.79
2007,5,186.07,249.2
2007,6,205.14,419.5
2007,7,299.92,691.13
2007,8,166.97,672.03
2007,9,251.85,718.74
2007,10,207,625.82
2007,11,122.34,581.19
2007,12,5.34,334.68
2008,1,13.57,141.25
2008,2,3.1,22.01
2008,3,33.33,50
2008,4,64.16,100.59
2008,5,170.4,267.89
2008,6,136,370.56
2008,7,199.75,506.15
2008,8,214.78,550.53
2008,9,191.54,606.07
2008,10,155.05,561.37
2008,11,147.17,493.76
2008,12,49.86,352.08
2009,1,3.92,200.95
2009,2,11.07,64.85
2009,3,20.69,35.68
2009,4,121.38,153.14
2009,5,210.21,352.28
2009,6,95.85,427.44
2009,7,152.94,459
2009,8,192.02,440.81
2009,9,224.66,569.62
2009,10,161.97,578.65
2009,11,83.1,469.73
2009,12,22.04,267.11
2010,1,24.37,129.51
2010,2,0.01,46.42
2010,3,11.93,36.31
2010,4,6.54,18.48
2010,5,35.98,54.45
2010,6,167.49,210.01
2010,7,188.05,391.52
2010,8,228.68,584.22
2010,9,179.92,596.65
2010,10,328.65,737.25
2010,11,195.4,703.97
2010,12,40.97,565.02
2011,1,4.89,241.26
2011,2,0.03,45.89
2011,3,37.95,42.87
2011,4,76.78,114.76
2011,5,138.85,253.58
2011,6,180.39,396.02
2011,7,160.04,479.28
2011,8,210.81,551.24
2011,9,177.15,548
2011,10,170.53,558.49
2011,11,185.38,533.06
2011,12,17.21,373.12
2012,1,21.36,223.95
2012,2,67.29,105.86
2012,3,52.01,140.66
2012,4,110.85,230.15
2012,5,155.98,318.84
2012,6,138.3,405.13
2012,7,186.49,480.77
2012,8,80.64,405.43
2012,9,294.31,561.44
2012,10,231.28,606.23
2012,11,111.49,637.08
2012,12,10.65,353.42
2013,1,15.04,137.18
2013,2,8.45,34.14
2013,3,1.51,25
2013,4,53.75,63.71
2013,5,91.58,146.84
2013,6,194.32,339.65
2013,7,120.98,406.88
2013,8,134.97,450.27
2013,9,138.88,394.83
2013,10,177.49,451.34
2013,11,105.26,421.63
2013,12,11.01,293.76
2014,1,1.25,117.52
2014,2,0.01,12.27
2014,3,1.48,2.74
2014,4,18.24,19.73
2014,5,65.47,85.19
2014,6,179.32,263.03
2014,7,193.9,438.69
2014,8,96.76,469.98
2014,9,119.43,410.09
2014,10,153.61,369.8
2014,11,95.92,368.96
2014,12,28.63,278.16
2015,1,4.44,128.99
2015,2,0.31,33.38
2015,3,0.18,4.93
2015,4,11.88,12.37
2015,5,55.33,67.39
2015,6,199.25,266.46
2015,7,140.52,395.1
2015,8,135.44,475.21
2015,9,183.04,459
2015,10,157.27,475.75
2015,11,79.71,420.02
2015,12,44.89,281.87
2016,1,1.23,125.83
2016,2,0.83,46.95
2016,3,0,2.06
2016,4,1.03,1.86
2016,5,221.01,222.04
2016,6,136.12,358.16
2016,7,143.88,501.01
2016,8,90.29,370.29
2016,9,151.08,385.25
2016,10,263.5,504.87
2016,11,154.98,569.56
2016,12,88.18,506.66
2017,1,37.15,280.31
2017,2,21.46,146.79
2017,3,18.78,77.39
2017,4,54.23,94.47
2017,5,171.52,244.53
2017,6,118.33,344.08
2017,7,173.12,462.97
2017,8,182.61,474.06
2017,9,158.29,514.02
2017,10,282.97,623.87
2017,11,125.02,566.28
2017,12,76.47,484.46
2018,1,67.21,268.7
2018,2,2.6,146.28
2018,3,23.78,93.59
2018,4,32.06,58.44
2018,5,185.98,241.82
2018,6,344.39,562.43
2018,7,336.63,867
2018,8,194.47,875.49
2018,9,226.37,757.47
2018,10,176.97,597.81
2018,11,73.33,476.67
2018,12,64.87,315.17
2019,1,37.44,175.64
2019,2,3.11,105.42
2019,3,27.7,68.25
2019,4,33.09,63.9
2019,5,247.09,307.88
2019,6,442.56,722.74
2019,7,250.37,940.02
2019,8,276.77,969.7
2019,9,243.18,770.32
2019,10,114.43,634.38
2019,11,98.14,455.75
2019,12,0.05,212.62
2020,1,1.72,99.91
2020,2,0.91,2.68
2020,3,14.86,17.49
2020,4,56,71.77
2020,5,131.96,202.82
2020,6,971.25,1159.21
2020,7,243.45,1346.66
2020,8,235.63,1450.33
2020,9,398.69,877.77
2020,10,499.87,1134.19
2020,11,103.53,1002.09
2020,12,68.19,671.59
2021,1,17.26,188.98
2021,2,6.91,92.36
2021,3,1.09,25.26
2021,4,150.22,158.22
2021,5,335.33,486.64
2021,6,213.71,699.26
2021,7,395.48,944.52
2021,8,301.2,910.39
2021,9,333.07,1029.75
2021,10,298.8,933.07
2021,11,202.87,834.74
2021,12,12.45,514.12
2022,1,1.66,216.98
2022,2,12.32,26.43
2022,3,145.01,158.99
2022,4,142.61,299.94
2022,5,320.71,608.33
2022,6,231.47,694.79
2022,7,420.09,972.27
2022,8,278.07,929.63
2022,9,256.17,954.33
2022,10,235.24,769.48
2022,11,191.07,682.48
2022,12,63.42,489.73
2023,1,26.37,280.86
2023,2,2.87,92.66
2023,3,0.05,29.29
2023,4,26.38,29.3
2023,5,162.22,188.65
2023,6,224.59,413.19
2023,7,396.12,782.93
2023,8,142.24,762.95
2023,9,342.58,880.94
2023,10,286.39,771.21
2023,11,146.69,775.66
2023,12,32.52,465.6
2024,1,0.3,179.51
2024,2,0.01,32.83
2024,3,0.47,0.78
2024,4,4.27,4.75
2024,5,202.53,207.27
2024,6,219.66,426.46
2024,7,342.05,764.24
2024,8,193,754.71
2024,9,259.93,794.98
2024,10,290.84,743.77
2024,11,126.98,677.75
2024,12,100.36,518.18
2025,1,2.75,230.09
2025,2,6.5,109.61
2025,3,21.44,30.69
2025,4,37.86,65.8
2025,5,167.54,226.84
2025,6,240.64,446.04
2025,7,119.09,527.27
2025,8,163.9,523.63
2025,9,198.56,481.55
2025,10,1.51,363.97
