Year,Month,Rain_month,Rain3mo,Date,month_of_year,SPI_3M
2000,1,11.92,,2000-01-31,1,
2000,2,29.59,,2000-02-29,2,
2000,3,43.18,84.69,2000-03-31,3,1.083567351664948
2000,4,33.95,106.72,2000-04-30,4,0.6725513154946514
2000,5,274.2,351.33,2000-05-31,5,0.9773795941836887
2000,6,168.74,476.89,2000-06-30,6,0.3261413916384583
2000,7,245.19,688.13,2000-07-31,7,0.4309443860851099
2000,8,256.3,670.23,2000-08-31,8,0.2809077559129059
2000,9,194.05,695.54,2000-09-30,9,0.4977478365498216
2000,10,335.69,786.04,2000-10-31,10,1.0482247309467427
2000,11,108.76,638.5000000000001,2000-11-30,11,0.6148191810879212
2000,12,86.22,530.67,2000-12-31,12,1.1941206391889438
2001,1,8.82,203.8,2001-01-31,1,0.5785894053298813
2001,2,5.6,100.64,2001-02-28,2,0.9484897259566486
2001,3,48.13,62.550000000000004,2001-03-31,3,0.7402648780443059
2001,4,24.41,78.14,2001-04-30,4,0.3351473129408504
2001,5,153.14,225.68,2001-05-31,5,0.05649965798436828
2001,6,258.22,435.77000000000004,2001-06-30,6,0.0820375681512386
2001,7,129.11,540.47,2001-07-31,7,-0.2697439991866971
2001,8,283.05,670.3800000000001,2001-08-31,8,0.2815894198716352
2001,9,212.65,624.8100000000001,2001-09-30,9,0.11267682727921019
2001,10,145.46,641.1600000000001,2001-10-31,10,0.22359762897328525
2001,11,85.12,443.23,2001-11-30,11,-0.8162590231558106
2001,12,14.25,244.83,2001-12-31,12,-1.303845178083482
2002,1,5.8,105.17,2002-01-31,1,-0.9609507245357493
2002,2,0.55,20.6,2002-02-28,2,-0.8685199896067783
2002,3,0.72,7.07,2002-03-31,3,-0.9579493189927754
2002,4,21.62,22.89,2002-04-30,4,-0.7152864366299301
2002,5,68.19,90.53,2002-05-31,5,-1.4763102941900101
2002,6,202.77,292.58000000000004,2002-06-30,6,-0.914410452604506
2002,7,96.18,367.14,2002-07-31,7,-1.2837194588484682
2002,8,122.01,420.96000000000004,2002-08-31,8,-1.0330864116055003
2002,9,166.48,384.66999999999996,2002-09-30,9,-1.470062311837522
2002,10,175.4,463.89,2002-10-31,10,-0.976570823870689
2002,11,124.81,466.69,2002-11-30,11,-0.6243002113574515
2002,12,89.56,389.77,2002-12-31,12,0.12047582887592821
2003,1,1.64,216.00999999999996,2003-01-31,1,0.7308655141007547
2003,2,0.3,91.49999999999997,2003-02-28,2,0.8106573027749411
2003,3,2.48,4.4199999999999715,2003-03-31,3,-1.2143608920276265
2003,4,6.97,9.749999999999972,2003-04-30,4,-1.2675555357406518
2003,5,210.2,219.64999999999995,2003-05-31,5,0.0044939181665436
2003,6,115.09,332.26,2003-06-30,6,-0.609975492028374
2003,7,156.69,481.9799999999999,2003-07-31,7,-0.5830979812289716
2003,8,189.0,460.78,2003-08-31,8,-0.7928281838751436
2003,9,171.94,517.63,2003-09-30,9,-0.5307780334963209
2003,10,250.65,611.5899999999999,2003-10-31,10,0.04045232003343668
2003,11,66.09,488.67999999999995,2003-11-30,11,-0.45021576584225115
2003,12,4.63,321.37,2003-12-31,12,-0.49651354061696507
2004,1,1.35,72.06999999999998,2004-01-31,1,-1.7082680231910614
2004,2,12.31,18.28999999999997,2004-02-29,2,-0.9732760257230468
2004,3,0.27,13.929999999999973,2004-03-31,3,-0.5357056357253734
2004,4,29.91,42.489999999999974,2004-04-30,4,-0.23334948085143442
2004,5,173.02,203.2,2004-05-31,5,-0.14244884817773618
2004,6,123.51,326.44,2004-06-30,6,-0.6530076255512973
2004,7,359.67,656.2,2004-07-31,7,0.28861593213078945
2004,8,159.82,643.0,2004-08-31,8,0.15544471967968732
2004,9,155.06,674.55,2004-09-30,9,0.38629525662631664
2004,10,221.37,536.25,2004-10-31,10,-0.4546376582498005
2004,11,52.57,429.0,2004-11-30,11,-0.9360813851394074
2004,12,7.29,281.23,2004-12-31,12,-0.901125097971278
2005,1,0.1,59.96,2005-01-31,1,-2.04367196412343
2005,2,0.05,7.44,2005-02-28,2,-1.6734766066714664
2005,3,6.79,6.94,2005-03-31,3,-0.968581214013495
2005,4,4.39,11.23,2005-04-30,4,-1.18338713229639
2005,5,138.12,149.3,2005-05-31,5,-0.6897296736029798
2005,6,177.17,319.68,2005-06-30,6,-0.7036541519664916
2005,7,187.86,503.15000000000003,2005-07-31,7,-0.4668484656468148
2005,8,119.21,484.23999999999995,2005-08-31,8,-0.6578862688181546
2005,9,108.12,415.19,2005-09-30,9,-1.2367735998053628
2005,10,229.85,457.18,2005-10-31,10,-1.0277096677349722
2005,11,119.77,457.74,2005-11-30,11,-0.6967429631256428
2005,12,56.75,406.37,2005-12-31,12,0.25908621571977025
2006,1,7.54,184.06,2006-01-31,1,0.3191609939662723
2006,2,22.46,86.75,2006-02-28,2,0.735501621775879
2006,3,5.68,35.68,2006-03-31,3,0.19242725409371547
2006,4,82.54,110.68,2006-04-30,4,0.7144038850590908
2006,5,157.12,245.34,2006-05-31,5,0.21985697500499293
2006,6,162.95,402.61,2006-06-30,6,-0.12627259214547265
2006,7,165.53,485.6,2006-07-31,7,-0.5629769368879505
2006,8,175.38,503.86,2006-08-31,8,-0.5484173147803817
2006,9,198.04,538.95,2006-09-30,9,-0.3960886336169562
2006,10,180.48,553.9,2006-10-31,10,-0.3346553142639946
2006,11,38.27,416.79,2006-11-30,11,-1.0410737472207356
2006,12,16.98,235.73,2006-12-31,12,-1.41092613922212
2007,1,9.84,65.09,2007-01-31,1,-1.896115422347391
2007,2,0.66,27.48,2007-02-28,2,-0.6002845510315983
2007,3,34.84,45.34,2007-03-31,3,0.4137164220211667
2007,4,28.29,63.79,2007-04-30,4,0.1335999278755613
2007,5,186.07,249.2,2007-05-31,5,0.25089483682222813
2007,6,205.14,419.5,2007-06-30,6,-0.01879070421922741
2007,7,299.92,691.1299999999999,2007-07-31,7,0.4440905291464559
2007,8,166.97,672.03,2007-08-31,8,0.28908105161674674
2007,9,251.85,718.74,2007-09-30,9,0.6183799503142967
2007,10,207.0,625.8199999999999,2007-10-31,10,0.1293068314391158
2007,11,122.34,581.1899999999999,2007-11-30,11,0.22938356131985616
2007,12,5.34,334.67999999999995,2007-12-31,12,-0.3699694763396068
2008,1,13.57,141.24999999999994,2008-01-31,1,-0.3150875575139058
2008,2,3.1,22.009999999999945,2008-02-29,2,-0.8087545619762248
2008,3,33.33,49.99999999999994,2008-03-31,3,0.5092297187990481
2008,4,64.16,100.58999999999995,2008-04-30,4,0.6057223321585442
2008,5,170.4,267.89,2008-05-31,5,0.3968300686885038
2008,6,136.0,370.55999999999995,2008-06-30,6,-0.3388805765546213
2008,7,199.75,506.15,2008-07-31,7,-0.4506451447599747
2008,8,214.78,550.53,2008-08-31,8,-0.2991792660120258
2008,9,191.54,606.0699999999999,2008-09-30,9,0.005829996574702467
2008,10,155.05,561.3699999999999,2008-10-31,10,-0.28465029961267724
2008,11,147.17,493.76,2008-11-30,11,-0.4107550428852951
2008,12,49.86,352.0799999999999,2008-12-31,12,-0.209562421743388
2009,1,3.92,200.94999999999993,2009-01-31,1,0.5421886565501571
2009,2,11.07,64.84999999999994,2009-02-28,2,0.3489804379293523
2009,3,20.69,35.67999999999994,2009-03-31,3,0.19242725409371406
2009,4,121.38,153.13999999999993,2009-04-30,4,1.1124841809086836
2009,5,210.21,352.28,2009-05-31,5,0.9834424110546607
2009,6,95.85,427.43999999999994,2009-06-30,6,0.030735632944322834
2009,7,152.94,458.99999999999994,2009-07-31,7,-0.7132929141933261
2009,8,192.02,440.80999999999995,2009-08-31,8,-0.9114537089554495
2009,9,224.66,569.6199999999999,2009-09-30,9,-0.20849501983419155
2009,10,161.97,578.65,2009-10-31,10,-0.17066556802698035
2009,11,83.1,469.7299999999999,2009-11-30,11,-0.5999081740371185
2009,12,22.04,267.10999999999996,2009-12-31,12,-1.0528248534520972
2010,1,24.37,129.50999999999993,2010-01-31,1,-0.5113637445210996
2010,2,0.01,46.419999999999945,2010-02-28,2,-0.05113003286094319
2010,3,11.93,36.309999999999945,2010-03-31,3,0.20801806506266057
2010,4,6.54,18.479999999999944,2010-04-30,4,-0.864462893440589
2010,5,35.98,54.44999999999994,2010-05-31,5,-2.171414971311953
2010,6,167.49,210.00999999999993,2010-06-30,6,-1.6546532235507079
2010,7,188.05,391.52,2010-07-31,7,-1.1234998355764176
2010,8,228.68,584.2199999999999,2010-08-31,8,-0.12800161251797107
2010,9,179.92,596.6499999999999,2010-09-30,9,-0.048713464287647196
2010,10,328.65,737.2499999999999,2010-10-31,10,0.782634737879639
2010,11,195.4,703.9699999999999,2010-11-30,11,1.0281607845418628
2010,12,40.97,565.02,2010-12-31,12,1.4267219830150955
2011,1,4.89,241.25999999999993,2011-01-31,1,1.0287965848379665
2011,2,0.03,45.889999999999944,2011-02-28,2,-0.06412186482487763
2011,3,37.95,42.86999999999995,2011-03-31,3,0.3604161670370027
2011,4,76.78,114.75999999999995,2011-04-30,4,0.7565212839974
2011,5,138.85,253.57999999999993,2011-05-31,5,0.28572928117011875
2011,6,180.39,396.02,2011-06-30,6,-0.16903049552531763
2011,7,160.04,479.2799999999999,2011-07-31,7,-0.5981724903882093
2011,8,210.81,551.24,2011-08-31,8,-0.2954999997696717
2011,9,177.15,548.0,2011-09-30,9,-0.34000236599856243
2011,10,170.53,558.49,2011-10-31,10,-0.3038760203297762
2011,11,185.38,533.06,2011-11-30,11,-0.11433703732868089
2011,12,17.21,373.11999999999995,2011-12-31,12,-0.022563037556307692
2012,1,21.36,223.94999999999996,2012-01-31,1,0.8268885064462835
2012,2,67.29,105.85999999999999,2012-02-29,2,1.0236375542551468
2012,3,52.01,140.65999999999997,2012-03-31,3,1.7532226506448487
2012,4,110.85,230.14999999999998,2012-04-30,4,1.685020587759502
2012,5,155.98,318.8399999999999,2012-05-31,5,0.7633025921124145
2012,6,138.3,405.13,2012-06-30,6,-0.1100464878811624
2012,7,186.49,480.77,2012-07-31,7,-0.5898464632343883
2012,8,80.64,405.43,2012-08-31,8,-1.1310369428630747
2012,9,294.31,561.44,2012-09-30,9,-0.2578497897494419
2012,10,231.28,606.23,2012-10-31,10,0.006626053675311402
2012,11,111.49,637.08,2012-11-30,11,0.605551587582295
2012,12,10.65,353.42,2012-12-31,12,-0.19743251967948042
2013,1,15.04,137.18,2013-01-31,1,-0.38183065578339254
2013,2,8.45,34.14,2013-02-28,2,-0.3833563915522269
2013,3,1.51,25.0,2013-03-31,3,-0.1066948829351514
2013,4,53.75,63.71,2013-04-30,4,0.1323939966819363
2013,5,91.58,146.84,2013-05-31,5,-0.7177634853959126
2013,6,194.32,339.65,2013-06-30,6,-0.5560707409663058
2013,7,120.98,406.88,2013-07-31,7,-1.0260809003015028
2013,8,134.97,450.27,2013-08-31,8,-0.8548097144647425
2013,9,138.88,394.83000000000004,2013-09-30,9,-1.3910230217714932
2013,10,177.49,451.34000000000003,2013-10-31,10,-1.072637401883457
2013,11,105.26,421.63000000000005,2013-11-30,11,-0.9992071481683479
2013,12,11.01,293.76000000000005,2013-12-31,12,-0.7708187390184398
2014,1,1.25,117.52000000000004,2014-01-31,1,-0.7247979302616183
2014,2,0.01,12.270000000000028,2014-02-28,2,-1.3025060217437903
2014,3,1.48,2.7400000000000286,2014-03-31,3,-1.4516445167142442
2014,4,18.24,19.730000000000025,2014-04-30,4,-0.8196846096876184
2014,5,65.47,85.19000000000003,2014-05-31,5,-1.5644729765651282
2014,6,179.32,263.03000000000003,2014-06-30,6,-1.1602042601754408
2014,7,193.9,438.69000000000005,2014-07-31,7,-0.8321243055473718
2014,8,96.76,469.98,2014-08-31,8,-0.7393622241431318
2014,9,119.43,410.09000000000003,2014-09-30,9,-1.2749123381695782
2014,10,153.61,369.80000000000007,2014-10-31,10,-1.7464203882048353
2014,11,95.92,368.96000000000004,2014-11-30,11,-1.4739329362996874
2014,12,28.63,278.16,2014-12-31,12,-0.933655574232185
2015,1,4.44,128.99000000000004,2015-01-31,1,-0.5203329815598716
2015,2,0.31,33.38000000000003,2015-02-28,2,-0.4065053011722439
2015,3,0.18,4.930000000000029,2015-03-31,3,-1.1569903473281633
2015,4,11.88,12.37000000000003,2015-04-30,4,-1.1242917533183467
2015,5,55.33,67.39000000000003,2015-05-31,5,-1.8911243117575018
2015,6,199.25,266.46000000000004,2015-06-30,6,-1.1307200632790098
2015,7,140.52,395.1,2015-07-31,7,-1.1005609448732527
2015,8,135.44,475.21000000000004,2015-08-31,8,-0.7092865096438437
2015,9,183.04,459.0,2015-09-30,9,-0.9217263872662937
2015,10,157.27,475.75,2015-10-31,10,-0.8874041309941265
2015,11,79.71,420.02000000000004,2015-11-30,11,-1.0130972376126501
2015,12,44.89,281.87,2015-12-31,12,-0.8943741806456204
2016,1,1.23,125.83000000000003,2016-01-31,1,-0.5753766385816804
2016,2,0.83,46.95000000000003,2016-02-29,2,-0.03823937388750809
2016,3,0.0,2.0600000000000285,2016-03-31,3,-1.5836127665010586
2016,4,1.03,1.8600000000000283,2016-04-30,4,-2.1027451664069448
2016,5,221.01,222.04000000000002,2016-05-31,5,0.025219760985219435
2016,6,136.12,358.16,2016-06-30,6,-0.42447392822061486
2016,7,143.88,501.01000000000005,2016-07-31,7,-0.4784469348813174
2016,8,90.29,370.29,2016-08-31,8,-1.3626862802513209
2016,9,151.08,385.25,2016-09-30,9,-1.465511518710266
2016,10,263.5,504.87,2016-10-31,10,-0.674715101581191
2016,11,154.98,569.56,2016-11-30,11,0.14812022785269996
2016,12,88.18,506.65999999999997,2016-12-31,12,1.025670208694073
2017,1,37.15,280.31,2017-01-31,1,1.4521509618176707
2017,2,21.46,146.79000000000002,2017-02-28,2,1.5447405321879777
2017,3,18.78,77.39,2017-03-31,3,0.9774738937425036
2017,4,54.23,94.47,2017-04-30,4,0.5362891673354382
2017,5,171.52,244.53,2017-05-31,5,0.21330266454041483
2017,6,118.33,344.08,2017-06-30,6,-0.5241396527636187
2017,7,173.12,462.97,2017-07-31,7,-0.6904875282126449
2017,8,182.61,474.06,2017-08-31,8,-0.7158802415124779
2017,9,158.29,514.02,2017-09-30,9,-0.5539539007221809
2017,10,282.97,623.87,2017-10-31,10,0.11721088628225335
2017,11,125.02,566.28,2017-11-30,11,0.12500218903172183
2017,12,76.47,484.46000000000004,2017-12-31,12,0.8652232198503044
2018,1,67.21,268.7,2018-01-31,1,1.3304761220419448
2018,2,2.6,146.28,2018-02-28,2,1.5388485280477189
2018,3,23.78,93.59,2018-03-31,3,1.205398770056758
2018,4,32.06,58.440000000000005,2018-04-30,4,0.05056188686716266
2018,5,185.98,241.82,2018-05-31,5,0.19126834814244884
2018,6,344.39,562.43,2018-06-30,6,0.7925276695978535
2018,7,336.63,866.9999999999999,2018-07-31,7,1.1571253156484924
2018,8,194.47,875.49,2018-08-31,8,1.13295220341019
2018,9,226.37,757.47,2018-09-30,9,0.8141752805771464
2018,10,176.97,597.81,2018-10-31,10,-0.04691725617951051
2018,11,73.33,476.66999999999996,2018-11-30,11,-0.544621210967531
2018,12,64.87,315.17,2018-12-31,12,-0.5566731753772524
2019,1,37.44,175.64,2019-01-31,1,0.20288726447880587
2019,2,3.11,105.42,2019-02-28,2,1.0173956676346267
2019,3,27.7,68.25,2019-03-31,3,0.8352525841494336
2019,4,33.09,63.900000000000006,2019-04-30,4,0.1352564009470759
2019,5,247.09,307.88,2019-05-31,5,0.6878997424308683
2019,6,442.56,722.74,2019-06-30,6,1.5548109729778883
2019,7,250.37,940.02,2019-07-31,7,1.42541949985036
2019,8,276.77,969.7,2019-08-31,8,1.4804394581110216
2019,9,243.18,770.32,2019-09-30,9,0.8776817732209133
2019,10,114.43,634.3800000000001,2019-10-31,10,0.1821100395848926
2019,11,98.14,455.75000000000006,2019-11-30,11,-0.7129805825342972
2019,12,0.05,212.62000000000006,2019-12-31,12,-1.696451846056608
2020,1,1.72,99.91000000000005,2020-01-31,1,-1.0673944712397037
2020,2,0.91,2.680000000000057,2020-02-29,2,-2.3219293609007163
2020,3,14.86,17.490000000000055,2020-03-31,3,-0.3769759390158527
2020,4,56.0,71.77000000000005,2020-04-30,4,0.24906130223891312
2020,5,131.96,202.82000000000005,2020-05-31,5,-0.14593663076250196
2020,6,971.25,1159.21,2020-06-30,6,3.1944729366378337
2020,7,243.45,1346.66,2020-07-31,7,2.7177763473415535
2020,8,235.63,1450.33,2020-08-31,8,2.9813434296005044
2020,9,398.69,877.77,2020-09-30,9,1.3834609713648454
2020,10,499.87,1134.19,2020-10-31,10,2.6887306192703186
2020,11,103.53,1002.09,2020-11-30,11,2.6472622077048977
2020,12,68.19,671.59,2020-12-31,12,2.0950324294043954
2021,1,17.26,188.98,2021-01-31,1,0.3854767643751526
2021,2,6.91,92.36,2021-02-28,2,0.8239933387469551
