Year,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,SPI_mean,SPI_std,SPI_min,SPI_max,Rain3mo_mean,Rain3mo_sum,n_months
2000,0.464,0.155,0.158,0.623,0.713,0.337,0.281,1.194,502.874,5028.74,11
2001,0.524,0.097,0.241,0.626,0.081,0.633,-1.304,0.948,355.955,4271.46,12
2002,0.585,0.056,0.492,0.665,-0.93,0.424,-1.476,0.12,252.663,3031.96,12
2003,0.628,0.045,0.553,0.706,-0.363,0.658,-1.268,0.811,312.968,3755.62,12
2004,0.623,0.055,0.481,0.687,-0.476,0.61,-1.708,0.386,324.721,3896.65,12
2005,0.604,0.076,0.399,0.71,-0.924,0.59,-2.044,0.259,273.202,3278.42,12
2006,0.648,0.064,0.487,0.708,-0.187,0.66,-1.411,0.736,316.662,3799.95,12
2007,0.581,0.097,0.35,0.674,-0.031,0.679,-1.896,0.618,374.499,4493.99,12
2008,0.552,0.1,0.34,0.643,-0.133,0.429,-0.809,0.606,335.188,4022.26,12
2009,0.58,0.094,0.346,0.75,-0.037,0.709,-1.053,1.112,334.938,4019.26,12
2010,0.554,0.096,0.324,0.63,-0.259,1.074,-2.171,1.427,339.484,4073.81,12
2011,0.492,0.107,0.303,0.659,0.044,0.479,-0.598,1.029,344.797,4137.57,12
2012,0.568,0.066,0.396,0.652,0.365,0.891,-1.131,1.753,372.413,4468.96,12
2013,0.505,0.119,0.341,0.74,-0.677,0.437,-1.391,0.132,263.769,3165.23,12
2014,0.548,0.105,0.421,0.702,-1.169,0.352,-1.746,-0.725,236.347,2836.16,12
2015,0.558,0.086,0.455,0.736,-0.98,0.376,-1.891,-0.407,251.706,3020.47,12
2016,0.532,0.102,0.377,0.758,-0.626,0.88,-2.103,1.026,299.545,3594.54,12
2017,0.531,0.137,0.308,0.75,0.279,0.809,-0.716,1.545,359.436,4313.23,12
2018,0.594,0.085,0.462,0.769,0.589,0.738,-0.557,1.539,438.406,5260.87,12
2019,0.6,0.101,0.402,0.792,0.499,0.959,-1.696,1.555,452.218,5426.62,12
2020,0.595,0.097,0.469,0.775,1.17,1.842,-2.322,3.194,669.709,8036.51,12
2021,0.6,0.067,0.484,0.718,1.238,0.626,-0.098,2.035,568.109,6817.31,12
2022,0.546,0.14,0.236,0.736,1.273,0.791,-0.638,2.341,566.948,6803.38,12
2023,0.734,0.049,0.7,0.769,1.143,0.445,0.829,1.458,186.76,373.52,2
